Word,Documents (With Count)
soltem,"[(236, 1)]"
vivemos,"[(68, 1), (208, 1), (223, 1), (260, 1), (376, 1), (433, 1), (466, 1), (603, 1)]"
desagregador,"[(519, 1)]"
marxismo,"[(51, 1), (57, 2), (166, 2), (501, 1)]"
instalada,"[(64, 1)]"
suzano,"[(30, 1)]"
filósofos,"[(162, 1)]"
suspendeu,"[(229, 1), (236, 1), (266, 1)]"
guardar,"[(255, 1)]"
barragem,"[(25, 2), (51, 1), (113, 2), (119, 1), (465, 1), (575, 1)]"
gabriella,"[(270, 1)]"
processá-lo,"[(57, 1)]"
suzane,"[(393, 1), (543, 1)]"
otimistas,"[(114, 1)]"
formalização,"[(585, 1)]"
resultando,"[(17, 1)]"
característica,"[(256, 1)]"
elogiar,"[(105, 1), (217, 1)]"
santana,"[(57, 1)]"
igual,"[(34, 1), (55, 2), (127, 1), (174, 2), (252, 2), (505, 1), (531, 1), (559, 3), (581, 2)]"
alimentado,"[(19, 1)]"
elzasoaresoficial,"[(483, 1)]"
pontuou,"[(30, 1)]"
interpretações,"[(137, 1), (223, 1), (323, 1)]"
herbicida,"[(123, 3)]"
tradição,"[(102, 3), (127, 1), (137, 2), (207, 1), (208, 1), (429, 1), (566, 1), (568, 1)]"
adequado,"[(76, 1), (118, 1), (128, 1), (135, 1)]"
antecede,"[(195, 1)]"
colocações,"[(297, 1), (376, 1)]"
implantada,"[(294, 2), (454, 1)]"
estrangeiro,"[(37, 1), (99, 1), (304, 1), (526, 1)]"
sobe,"[(232, 1), (478, 1)]"
estrangeira,"[(583, 1)]"
alcançar,"[(162, 1), (410, 1), (573, 1), (584, 1), (610, 1)]"
regional,"[(25, 3), (62, 1), (82, 1), (103, 1), (119, 1), (158, 1), (179, 2), (324, 1), (566, 1), (579, 1), (585, 2)]"
adequada,"[(19, 1), (28, 1), (76, 1)]"
inclinaria,"[(162, 1)]"
inimigos,"[(153, 1), (172, 1), (193, 1), (255, 1), (264, 1), (276, 1), (292, 1), (297, 2), (429, 2), (542, 1), (627, 4)]"
atingir,"[(133, 1), (232, 2), (488, 1), (548, 1)]"
gerada,"[(33, 1)]"
consiste,"[(559, 1)]"
protestante,"[(34, 2), (360, 1)]"
repartição,"[(19, 1), (166, 1), (210, 2), (309, 1)]"
redemocratização,"[(114, 1), (179, 1), (545, 1)]"
gerado,"[(166, 1), (458, 1)]"
escritórios,"[(584, 1)]"
